feature,feature_type,kingdom,phylum,order,class,family,genus,species
TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleosides degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine nucleobases salvage,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid elongation -- saturated,pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle I (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of mycolate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of guanosine nucleotides de novo biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of thiamin diphosphate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
mycolate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine ribonucleosides salvage,pathway,NA,NA,NA,NA,NA,NA,NA
oleate biosynthesis IV (anaerobic),pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine biosynthesis III (via N-acetyl-L-citrulline),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of glucose and xylose degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of purine nucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of histidine, purine, and pyrimidine biosynthesis",pathway,NA,NA,NA,NA,NA,NA,NA
adenosylcobalamin salvage from cobinamide I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of guanosine nucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),pathway,NA,NA,NA,NA,NA,NA,NA
(5Z)-dodec-5-enoate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
methylerythritol phosphate pathway II,pathway,NA,NA,NA,NA,NA,NA,NA
pentose phosphate pathway,pathway,NA,NA,NA,NA,NA,NA,NA
inosine-5'-phosphate biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle II (plants and fungi),pathway,NA,NA,NA,NA,NA,NA,NA
tetrapyrrole biosynthesis II (from glycine),pathway,NA,NA,NA,NA,NA,NA,NA
8-amino-7-oxononanoate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of N-acetylneuraminate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
biotin biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
stearate biosynthesis II (bacteria and plants),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of fatty acids biosynthesis (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan maturation (meso-diaminopimelate containing),pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of unsaturated fatty acids biosynthesis (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
putrescine biosynthesis IV,pathway,NA,NA,NA,NA,NA,NA,NA
L-isoleucine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of fatty acid biosynthesis initiation (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
O-antigen building blocks biosynthesis (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine biosynthesis II (acetyl cycle),pathway,NA,NA,NA,NA,NA,NA,NA
"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,pathway,NA,NA,NA,NA,NA,NA,NA
purine nucleobases degradation I (anaerobic),pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
gluconeogenesis III,pathway,NA,NA,NA,NA,NA,NA,NA
L-ornithine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),pathway,NA,NA,NA,NA,NA,NA,NA
CMP-3-deoxy-D-manno-octulosonate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
adenosine deoxyribonucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
guanosine deoxyribonucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
tRNA charging,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of Clostridium acetobutylicum acidogenic fermentation,pathway,NA,NA,NA,NA,NA,NA,NA
aspartate superpathway,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotide phosphorylation,pathway,NA,NA,NA,NA,NA,NA,NA
L-isoleucine biosynthesis IV,pathway,NA,NA,NA,NA,NA,NA,NA
pyridoxal 5'-phosphate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
sucrose degradation IV (sucrose phosphorylase),pathway,NA,NA,NA,NA,NA,NA,NA
guanosine nucleotides degradation II,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-11 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-12 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-13 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
incomplete reductive TCA cycle,pathway,NA,NA,NA,NA,NA,NA,NA
L-citrulline biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
pyruvate fermentation to butanoate,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of tetrahydrofolate biosynthesis and salvage,pathway,NA,NA,NA,NA,NA,NA,NA
glycogen degradation II (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of fermentation (Chlamydomonas reinhardtii),pathway,NA,NA,NA,NA,NA,NA,NA
methyl ketone biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of arginine and polyamine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
petroselinate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"anaerobic energy metabolism (invertebrates, cytosol)",pathway,NA,NA,NA,NA,NA,NA,NA
UDP-N-acetyl-D-glucosamine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
anhydromuropeptides recycling,pathway,NA,NA,NA,NA,NA,NA,NA
isoprene biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-methionine biosynthesis (by sulfhydrylation),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of glycolysis and Entner-Doudoroff,pathway,NA,NA,NA,NA,NA,NA,NA
acetyl-CoA fermentation to butanoate II,pathway,NA,NA,NA,NA,NA,NA,NA
L-ornithine de novo  biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
L-proline biosynthesis II (from arginine),pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
lactose and galactose degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of tetrahydrofolate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of sulfate assimilation and cysteine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
NAD salvage pathway II,pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
colanic acid building blocks biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
pyruvate fermentation to propanoate I,pathway,NA,NA,NA,NA,NA,NA,NA
Rubisco shunt,pathway,NA,NA,NA,NA,NA,NA,NA
L-histidine degradation III,pathway,NA,NA,NA,NA,NA,NA,NA
mixed acid fermentation,pathway,NA,NA,NA,NA,NA,NA,NA
4-aminobutanoate degradation V,pathway,NA,NA,NA,NA,NA,NA,NA
thiazole biosynthesis I (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
taxadiene biosynthesis (engineered),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-7 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of polyamine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotides biosynthesis from CTP,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
NAD/NADH phosphorylation and dephosphorylation,pathway,NA,NA,NA,NA,NA,NA,NA
GABA shunt,pathway,NA,NA,NA,NA,NA,NA,NA
superpathay of heme biosynthesis from glutamate,pathway,NA,NA,NA,NA,NA,NA,NA
heterolactic fermentation,pathway,NA,NA,NA,NA,NA,NA,NA
ppGpp biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-alanine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of phylloquinol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
glucose and glucose-1-phosphate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",pathway,NA,NA,NA,NA,NA,NA,NA
"1,4-dihydroxy-2-naphthoate biosynthesis I",pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis IV,pathway,NA,NA,NA,NA,NA,NA,NA
sulfate reduction I (assimilatory),pathway,NA,NA,NA,NA,NA,NA,NA
urea cycle,pathway,NA,NA,NA,NA,NA,NA,NA
adenosylcobalamin salvage from cobinamide II,pathway,NA,NA,NA,NA,NA,NA,NA
fucose degradation,pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan biosynthesis IV (Enterococcus faecium),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of polyamine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
polyisoprenoid biosynthesis (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of fucose and rhamnose degradation,pathway,NA,NA,NA,NA,NA,NA,NA
heme biosynthesis II (anaerobic),pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle VIII (helicobacter),pathway,NA,NA,NA,NA,NA,NA,NA
"C4 photosynthetic carbon assimilation cycle, PEPCK type",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine ribonucleosides degradation,pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid &beta;-oxidation I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),pathway,NA,NA,NA,NA,NA,NA,NA
flavin biosynthesis II (archaea),pathway,NA,NA,NA,NA,NA,NA,NA
"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan biosynthesis V (&beta;-lactam resistance),pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid &beta;-oxidation II (peroxisome),pathway,NA,NA,NA,NA,NA,NA,NA
ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
heme biosynthesis I (aerobic),pathway,NA,NA,NA,NA,NA,NA,NA
all-trans-farnesol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"C4 photosynthetic carbon assimilation cycle, NADP-ME type",pathway,NA,NA,NA,NA,NA,NA,NA
pyruvate fermentation to acetone,pathway,NA,NA,NA,NA,NA,NA,NA
L-glutamate and L-glutamine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",pathway,NA,NA,NA,NA,NA,NA,NA
NAD salvage pathway I,pathway,NA,NA,NA,NA,NA,NA,NA
mannan degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
formaldehyde assimilation III (dihydroxyacetone cycle),pathway,NA,NA,NA,NA,NA,NA,NA
biotin biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
L-histidine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle VI (obligate autotrophs),pathway,NA,NA,NA,NA,NA,NA,NA
"1,4-dihydroxy-6-naphthoate biosynthesis II",pathway,NA,NA,NA,NA,NA,NA,NA
4-hydroxybenzoate biosynthesis V,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of methylglyoxal degradation,pathway,NA,NA,NA,NA,NA,NA,NA
glycerol degradation to butanol,pathway,NA,NA,NA,NA,NA,NA,NA
methanogenesis from H2 and CO2,pathway,NA,NA,NA,NA,NA,NA,NA
&gamma;-glutamyl cycle,pathway,NA,NA,NA,NA,NA,NA,NA
coenzyme M biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of acetyl-CoA biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
factor 420 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"hexitol fermentation to lactate, formate, ethanol and acetate",pathway,NA,NA,NA,NA,NA,NA,NA
mevalonate pathway I,pathway,NA,NA,NA,NA,NA,NA,NA
mevalonate pathway II (archaea),pathway,NA,NA,NA,NA,NA,NA,NA
mannitol cycle,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of (R,R)-butanediol biosynthesis",pathway,NA,NA,NA,NA,NA,NA,NA
isoprene biosynthesis II (engineered),pathway,NA,NA,NA,NA,NA,NA,NA
"1,4-dihydroxy-6-naphthoate biosynthesis I",pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of glycerol degradation to 1,3-propanediol",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of guanosine nucleotides degradation (plants),pathway,NA,NA,NA,NA,NA,NA,NA
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
phytate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of thiamin diphosphate biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
creatinine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
"myo-, chiro- and scillo-inositol degradation",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of hexitol degradation (bacteria),pathway,NA,NA,NA,NA,NA,NA,NA
L-glutamate degradation V (via hydroxyglutarate),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-8 biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-tyrosine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-8 biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle IV (2-oxoglutarate decarboxylase),pathway,NA,NA,NA,NA,NA,NA,NA
pyridoxal 5'-phosphate salvage II (plants),pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",pathway,NA,NA,NA,NA,NA,NA,NA
phytol degradation,pathway,NA,NA,NA,NA,NA,NA,NA
enterobactin biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of demethylmenaquinol-8 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of glyoxylate cycle and fatty acid degradation,pathway,NA,NA,NA,NA,NA,NA,NA
thiazole biosynthesis II (Bacillus),pathway,NA,NA,NA,NA,NA,NA,NA
"arginine, ornithine and proline interconversion",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-9 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-6 biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of menaquinol-10 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of glyoxylate bypass and TCA,pathway,NA,NA,NA,NA,NA,NA,NA
ketogluconate metabolism,pathway,NA,NA,NA,NA,NA,NA,NA
"C4 photosynthetic carbon assimilation cycle, NAD-ME type",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-tryptophan biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of chorismate metabolism,pathway,NA,NA,NA,NA,NA,NA,NA
glyoxylate cycle,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of anaerobic energy metabolism (invertebrates),pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle III (animals),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of demethylmenaquinol-6 biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of demethylmenaquinol-9 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
purine nucleotides degradation I (plants),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-8 biosynthesis (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
L-glutamine biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
reductive TCA cycle I,pathway,NA,NA,NA,NA,NA,NA,NA
glycogen degradation I (bacterial),pathway,NA,NA,NA,NA,NA,NA,NA
phosphatidylcholine acyl editing,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of glycol metabolism and degradation,pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-7 biosynthesis (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-10 biosynthesis (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of heme biosynthesis from glycine,pathway,NA,NA,NA,NA,NA,NA,NA
"anaerobic energy metabolism (invertebrates, mitochondrial)",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of ubiquinol-8 biosynthesis (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
"L-phenylalanine degradation IV (mammalian, via side chain)",pathway,NA,NA,NA,NA,NA,NA,NA
starch degradation III,pathway,NA,NA,NA,NA,NA,NA,NA
lipid IVA biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-9 biosynthesis (prokaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
L-tryptophan biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II",pathway,NA,NA,NA,NA,NA,NA,NA
D-glucarate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
trehalose degradation V,pathway,NA,NA,NA,NA,NA,NA,NA
nitrate reduction V (assimilatory),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of heme biosynthesis from uroporphyrinogen-III,pathway,NA,NA,NA,NA,NA,NA,NA
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
TCA cycle VII (acetate-producers),pathway,NA,NA,NA,NA,NA,NA,NA
adenosine nucleotides degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
Bifidobacterium shunt,pathway,NA,NA,NA,NA,NA,NA,NA
dTDP-N-acetylthomosamine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
octane oxidation,pathway,NA,NA,NA,NA,NA,NA,NA
nitrate reduction VI (assimilatory),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of lipopolysaccharide biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"L-1,2-propanediol degradation",pathway,NA,NA,NA,NA,NA,NA,NA
aerobactin biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
L-glutamate degradation VIII (to propanoate),pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-arginine and L-ornithine degradation,pathway,NA,NA,NA,NA,NA,NA,NA
tRNA processing,pathway,NA,NA,NA,NA,NA,NA,NA
dTDP-N-acetylviosamine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
4-hydroxyphenylacetate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
phenylacetate degradation I (aerobic),pathway,NA,NA,NA,NA,NA,NA,NA
"phospholipid remodeling (phosphatidylethanolamine, yeast)",pathway,NA,NA,NA,NA,NA,NA,NA
D-galactarate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of D-glucarate and D-galactarate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
molybdenum cofactor biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
L-glutamate degradation IV,pathway,NA,NA,NA,NA,NA,NA,NA
methylphosphonate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
"unsaturated, even numbered fatty acid &beta;-oxidation",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of phenylethylamine degradation,pathway,NA,NA,NA,NA,NA,NA,NA
enterobacterial common antigen biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
polymyxin resistance,pathway,NA,NA,NA,NA,NA,NA,NA
formaldehyde assimilation II (RuMP Cycle),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of (Kdo)2-lipid A biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of ornithine degradation,pathway,NA,NA,NA,NA,NA,NA,NA
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,pathway,NA,NA,NA,NA,NA,NA,NA
cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine degradation II (AST pathway),pathway,NA,NA,NA,NA,NA,NA,NA
sulfoglycolysis,pathway,NA,NA,NA,NA,NA,NA,NA
allantoin degradation IV (anaerobic),pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of 2,3-butanediol biosynthesis",pathway,NA,NA,NA,NA,NA,NA,NA
allantoin degradation to glyoxylate II,pathway,NA,NA,NA,NA,NA,NA,NA
allantoin degradation to glyoxylate III,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of allantoin degradation in plants,pathway,NA,NA,NA,NA,NA,NA,NA
"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of allantoin degradation in yeast,pathway,NA,NA,NA,NA,NA,NA,NA
mannosylglycerate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
ketogenesis,pathway,NA,NA,NA,NA,NA,NA,NA
2-methylcitrate cycle I,pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid &beta;-oxidation VI (peroxisome),pathway,NA,NA,NA,NA,NA,NA,NA
teichoic acid (poly-glycerol) biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
isopropanol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"fatty acid &beta;-oxidation (peroxisome, yeast)",pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine fermentation to acetate and butanoate,pathway,NA,NA,NA,NA,NA,NA,NA
starch biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
ureide biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
aerobic respiration I (cytochrome c),pathway,NA,NA,NA,NA,NA,NA,NA
leucopelargonidin and leucocyanidin biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-citrulline metabolism,pathway,NA,NA,NA,NA,NA,NA,NA
L-ascorbate biosynthesis IV,pathway,NA,NA,NA,NA,NA,NA,NA
aerobic respiration II (cytochrome c) (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
formaldehyde oxidation I,pathway,NA,NA,NA,NA,NA,NA,NA
norspermidine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
2-methylcitrate cycle II,pathway,NA,NA,NA,NA,NA,NA,NA
methanol oxidation to carbon dioxide,pathway,NA,NA,NA,NA,NA,NA,NA
sucrose degradation II (sucrose synthase),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of anaerobic sucrose degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleoside salvage,pathway,NA,NA,NA,NA,NA,NA,NA
chorismate biosynthesis II (archaea),pathway,NA,NA,NA,NA,NA,NA,NA
chitin degradation to ethanol,pathway,NA,NA,NA,NA,NA,NA,NA
L-histidine degradation II,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of purines degradation in plants,pathway,NA,NA,NA,NA,NA,NA,NA
L-ascorbate biosynthesis VI (engineered pathway),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-threonine metabolism,pathway,NA,NA,NA,NA,NA,NA,NA
"1,3-propanediol biosynthesis (engineered)",pathway,NA,NA,NA,NA,NA,NA,NA
catechol degradation I (meta-cleavage pathway),pathway,NA,NA,NA,NA,NA,NA,NA
methylgallate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
gallate degradation II,pathway,NA,NA,NA,NA,NA,NA,NA
gallate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
glucose degradation (oxidative),pathway,NA,NA,NA,NA,NA,NA,NA
4-methylcatechol degradation (ortho cleavage),pathway,NA,NA,NA,NA,NA,NA,NA
toluene degradation IV (aerobic) (via catechol),pathway,NA,NA,NA,NA,NA,NA,NA
protocatechuate degradation II (ortho-cleavage pathway),pathway,NA,NA,NA,NA,NA,NA,NA
chlorosalicylate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
nylon-6 oligomer degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of ubiquinol-6 biosynthesis (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
L-leucine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
catechol degradation to &beta;-ketoadipate,pathway,NA,NA,NA,NA,NA,NA,NA
L-tyrosine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid &alpha;-oxidation III,pathway,NA,NA,NA,NA,NA,NA,NA
toluene degradation III (aerobic) (via p-cresol),pathway,NA,NA,NA,NA,NA,NA,NA
catechol degradation III (ortho-cleavage pathway),pathway,NA,NA,NA,NA,NA,NA,NA
aromatic compounds degradation via &beta;-ketoadipate,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of salicylate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
4-chlorobenzoate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
"chlorophyllide a biosynthesis I (aerobic, light-dependent)",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway NAD/NADP - NADH/NADPH interconversion (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
lychnose and isolychnose biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
adenosine nucleotides degradation IV,pathway,NA,NA,NA,NA,NA,NA,NA
CMP-N-acetylneuraminate biosynthesis I (eukaryotes),pathway,NA,NA,NA,NA,NA,NA,NA
"phosphatidate metabolism, as a signaling molecule",pathway,NA,NA,NA,NA,NA,NA,NA
